*BOMNUM,DRAWQTY,*EFF,*ITEM,*LOC,*OFFSET,*SUBORD
30120,30120,,200-08-199,CHI,0D0H0M,200-00-000
30120,31120,,200-08-199,CHI,0D0H1M,200-00-000
30120,32120,,200-08-199,CHI,0D0H2M,200-00-000
30121,30121,,200-08-199,CHI,0D0H0M,200-00-000
30121,31121,,200-08-199,CHI,0D0H1M,200-00-000
30121,32121,,200-08-199,CHI,0D0H2M,200-00-000
30122,30122,,200-08-199,CHI,0D0H0M,200-00-000
30122,31122,,200-08-199,CHI,0D0H1M,200-00-000
30122,32122,,200-08-199,CHI,0D0H2M,200-00-000
30123,30123,,200-08-199,CHI,0D0H0M,200-00-000
30123,31123,,200-08-199,CHI,0D0H1M,200-00-000
30123,32123,,200-08-199,CHI,0D0H2M,200-00-000
30124,30124,,200-08-199,CHI,0D0H0M,200-00-000
30124,31124,,200-08-199,CHI,0D0H1M,200-00-000
30124,32124,,200-08-199,CHI,0D0H2M,200-00-000
30125,30125,,200-08-199,CHI,0D0H0M,200-00-000
30125,31125,,200-08-199,CHI,0D0H1M,200-00-000
30125,32125,,200-08-199,CHI,0D0H2M,200-00-000
30126,30126,,200-08-199,CHI,0D0H0M,200-00-000
30126,31126,,200-08-199,CHI,0D0H1M,200-00-000
30126,32126,,200-08-199,CHI,0D0H2M,200-00-000
30127,30127,,200-08-199,CHI,0D0H0M,200-00-000
30127,31127,,200-08-199,CHI,0D0H1M,200-00-000
30127,32127,,200-08-199,CHI,0D0H2M,200-00-000
30128,30128,,200-08-199,CHI,0D0H0M,200-00-000
30128,31128,,200-08-199,CHI,0D0H1M,200-00-000
30128,32128,,200-08-199,CHI,0D0H2M,200-00-000
30129,30129,,200-08-199,CHI,0D0H0M,200-00-000
30129,31129,,200-08-199,CHI,0D0H1M,200-00-000
30129,32129,,200-08-199,CHI,0D0H2M,200-00-000
