*BOMNUM,BOM_TEXT,*EFF,*ITEM,*LOC,*OFFSET,*SUBORD
47367,Multiple     SpaceU,,200-08-199,CHI,0D0H1M,200-00-000
47367,Single SpaceU,,200-08-199,CHI,0D0H2M,200-00-000
47367,     LeadingSpaceU,,200-08-199,CHI,0D0H3M,200-00-000
47367,TrailingSpaceU     ,,200-08-199,CHI,0D0H4M,200-00-000
47367,     BothSpaceU     ,,200-08-199,CHI,0D0H5M,200-00-000
47367,Multiple     SpaceKE,,200-08-199,CHI,0D0H6M,200-00-000
47367,Single SpaceKE,,200-08-199,CHI,0D0H7M,200-00-000
47367,     LeadingSpaceKE,,200-08-199,CHI,0D0H8M,200-00-000
47367,TrailingSpaceKE     ,,200-08-199,CHI,0D0H9M,200-00-000
47367,     BothSpaceKE     ,,200-08-199,CHI,0D0H10M,200-00-000
